scene_id,objects
00-00,"[{'id': '00-00-00-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.09106825914687185, 0.327837305265109, 0.05]}, {'id': '00-00-01-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.3629457681089985, 0.08009530031323586, 0.015]}, {'id': '00-00-02-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.09106825914687185, 0.327837305265109, 0.115]}, {'id': '00-00-03-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.29719711293994305, 0.44160467918987983, 0.05]}, {'id': '00-00-04-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.29719711293994305, 0.44160467918987983, 0.15000000000000002]}, {'id': '00-00-05-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.4890689695783258, 0.07634603013311642, 0.05]}, {'id': '00-00-06-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.2963709886908416, 0.247091936743846, 0.05]}, {'id': '00-00-07-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.011428391499189672, 0.1869724548994599, 0.05]}]"
00-01,"[{'id': '00-01-00-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.1418286687505963, 0.197336535006216, 0.05]}, {'id': '00-01-01-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.1418286687505963, 0.197336535006216, 0.15000000000000002]}, {'id': '00-01-02-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.26305030967401827, 0.18273379686187224, 0.05]}, {'id': '00-01-03-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.02567123225831412, 0.2241869923004121, 0.015]}, {'id': '00-01-04-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.26557705548148863, 0.39796419212573936, 0.05]}, {'id': '00-01-05-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.10379876012177931, 0.3968644712820776, 0.05]}, {'id': '00-01-06-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.4277953859049359, 0.20296126252483065, 0.015]}, {'id': '00-01-07-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.03687882262092368, 0.05370816998457062, 0.05]}]"
00-02,"[{'id': '00-02-00-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.2996021091330575, 0.3939650383497609, 0.015]}, {'id': '00-02-01-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.20731433710890357, 0.4367027400673163, 0.05]}, {'id': '00-02-02-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.13992171153450916, 0.2267617044330647, 0.05]}, {'id': '00-02-03-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.0261699262140309, 0.1743072967945895, 0.015]}, {'id': '00-02-04-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.13992171153450916, 0.2267617044330647, 0.15000000000000002]}, {'id': '00-02-05-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.27586633353708434, 0.2669932961164288, 0.05]}, {'id': '00-02-06-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.491363896025087, 0.2921740971004281, 0.05]}, {'id': '00-02-07-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.3848491098022843, 0.1145125919084141, 0.05]}]"
00-03,"[{'id': '00-03-00-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.12596713965217887, 0.43711188430111586, 0.05]}, {'id': '00-03-01-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.35575998012152776, 0.21034358028946193, 0.05]}, {'id': '00-03-02-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.23728826355263294, 0.23509887326490364, 0.015]}, {'id': '00-03-03-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.1719487900332753, 0.0960429108316535, 0.05]}, {'id': '00-03-04-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.29981351482592705, 0.486565017582665, 0.05]}, {'id': '00-03-05-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.35575998012152776, 0.21034358028946193, 0.15000000000000002]}, {'id': '00-03-06-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.36903930702126425, 0.3663126369351837, 0.015]}, {'id': '00-03-07-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.29981351482592705, 0.486565017582665, 0.15000000000000002]}]"
00-04,"[{'id': '00-04-00-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.14812645611518072, 0.22945378648019238, 0.05]}, {'id': '00-04-01-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.14812645611518072, 0.22945378648019238, 0.115]}, {'id': '00-04-02-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.4344830192410313, 0.32809354089237064, 0.05]}, {'id': '00-04-03-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.17207284831537678, 0.4636076941771742, 0.05]}, {'id': '00-04-04-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.26364783804422487, 0.2157603966228202, 0.015]}, {'id': '00-04-05-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.4765513105127357, 0.1086245532190751, 0.05]}, {'id': '00-04-06-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.17207284831537678, 0.4636076941771742, 0.15000000000000002]}, {'id': '00-04-07-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.18435859869273102, 0.040651034149462695, 0.05]}]"
00-05,"[{'id': '00-05-00-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.059052623426378764, 0.08167990512575538, 0.05]}, {'id': '00-05-01-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.059052623426378764, 0.08167990512575538, 0.15000000000000002]}, {'id': '00-05-02-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.059052623426378764, 0.08167990512575538, 0.21500000000000002]}, {'id': '00-05-03-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.1492732806907498, 0.3609888737921107, 0.05]}, {'id': '00-05-04-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.39857624058759156, 0.3056823834247669, 0.05]}, {'id': '00-05-05-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.1492732806907498, 0.3609888737921107, 0.15000000000000002]}, {'id': '00-05-06-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.3597699912789783, 0.06072204285219405, 0.05]}, {'id': '00-05-07-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.23688422528698294, 0.06603105923571784, 0.015]}]"
00-06,"[{'id': '00-06-00-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.3726698651405533, 0.37894264362410607, 0.05]}, {'id': '00-06-01-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.3726698651405533, 0.37894264362410607, 0.15000000000000002]}, {'id': '00-06-02-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.10951028288716613, 0.18119890177466613, 0.05]}, {'id': '00-06-03-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.3726698651405533, 0.37894264362410607, 0.25]}, {'id': '00-06-04-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.10951028288716613, 0.18119890177466613, 0.115]}, {'id': '00-06-05-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.4406905219428865, 0.24212951867051907, 0.05]}, {'id': '00-06-06-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.2782228176833247, 0.37345495572970616, 0.015]}, {'id': '00-06-07-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.4406905219428865, 0.24212951867051907, 0.15000000000000002]}]"
00-07,"[{'id': '00-07-00-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.27828875438453515, 0.06419216634912238, 0.05]}, {'id': '00-07-01-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.2115714955985214, 0.3115767871306226, 0.05]}, {'id': '00-07-02-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.27828875438453515, 0.06419216634912238, 0.15000000000000002]}, {'id': '00-07-03-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.27828875438453515, 0.06419216634912238, 0.21500000000000002]}, {'id': '00-07-04-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.2115714955985214, 0.3115767871306226, 0.15000000000000002]}, {'id': '00-07-05-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.3470969611716276, 0.38293858187690305, 0.015]}, {'id': '00-07-06-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.1493543041470416, 0.09414798249534839, 0.05]}, {'id': '00-07-07-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.1493543041470416, 0.09414798249534839, 0.15000000000000002]}]"
00-08,"[{'id': '00-08-00-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.07728414727268329, 0.28997711520397346, 0.05]}, {'id': '00-08-01-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.49028292827733866, 0.20670695253817445, 0.05]}, {'id': '00-08-02-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.07728414727268329, 0.28997711520397346, 0.15000000000000002]}, {'id': '00-08-03-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.2926148958643988, 0.03428389507074803, 0.05]}, {'id': '00-08-04-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.2926148958643988, 0.03428389507074803, 0.115]}, {'id': '00-08-05-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.0765368831952937, 0.10029385681807197, 0.015]}, {'id': '00-08-06-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.34790500856240103, 0.30285663363531234, 0.05]}, {'id': '00-08-07-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.012412404603956317, 0.47865737422829574, 0.05]}]"
00-09,"[{'id': '00-09-00-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.3918597562783419, 0.40789912974678033, 0.05]}, {'id': '00-09-01-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.3483854405798424, 0.057050522857381485, 0.05]}, {'id': '00-09-02-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.10419242450677353, 0.3242458742239391, 0.05]}, {'id': '00-09-03-cyl-r-10', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.0369481758091722, 0.12421189342913375, 0.05]}, {'id': '00-09-04-cub-y-10', 'shape': 'cube', 'color': 'yellow', 'color_id': [255, 255, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'yellow', 'size': 'big', 'class_type': 'solid'}, 'position': [0.22694340702403554, 0.19903344399266354, 0.05]}, {'id': '00-09-05-cub-r-10', 'shape': 'cube', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.1, 0.1, 0.1], 'features': {'object_type': 'cube', 'color': 'red', 'size': 'big', 'class_type': 'solid'}, 'position': [0.19485118299746035, 0.4468732196361408, 0.05]}, {'id': '00-09-06-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.19485118299746035, 0.4468732196361408, 0.115]}, {'id': '00-09-07-cyl-r-03', 'shape': 'cylinder', 'color': 'red', 'color_id': [255, 0, 0], 'size': [0.03, 0.03, 0.03], 'features': {'object_type': 'cylinder', 'color': 'red', 'size': 'small', 'class_type': 'solid'}, 'position': [0.4505577320727395, 0.3057720626179945, 0.015]}]"
