id,type,scene_id,target_objs_id,target_actions,language_sentence,language_words_op,gpointing_obj_probs
00-00-00-00,0,00-00,['00-00-00-cub-r-10'],['pick up'],pick up red cube,"['red', 'cube']","[1.0, 0.006105282386742602, 0.9600968265822251, 0.00782090126524798, 1.0, 1.0, 0.018208292975649663, 0.0077686967901347305]"
00-00-01-01,1,00-00,['00-00-00-cub-r-10'],['pick up'],pick up red big cube,"['red', 'big', 'cube']","[1.0, 0.033859989402193015, 0.7820158911427503, 0.04277446663956501, 1.0, 1.0, 0.09872127289862256, 0.042628379916869096]"
00-00-02-02,2,00-00,['00-00-00-cub-r-10'],['pick up'],pick up cube,['cube'],"[1.0, 0.153158895611011, 1.0, 0.19642800556353981, 1.0, 1.0, 0.45525496158913287, 0.1951581372363164]"
00-00-03-03,3,00-00,['00-00-00-cub-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[1.0, 0.016867877422662814, 1.0, 0.02166287526341757, 0.8924768462342538, 1.0, 0.047314197606657345, 0.021678203473008383]"
00-00-04-04,4,00-00,['00-00-00-cub-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[1.0, 0.006665728786551632, 0.9577395242782775, 0.008391309771536445, 1.0, 1.0, 0.018816093390588776, 0.008387343773045704]"
00-00-05-00,0,00-00,['00-00-01-cyl-r-03'],['pick up'],pick up red cylinder,"['red', 'cylinder']","[0.09355231249119955, 1.0, 0.08850912301538642, 0.21923275920845245, 0.10052248556527538, 0.09841172476345077, 0.39977159495623543, 1.0]"
00-00-06-01,1,00-00,['00-00-01-cyl-r-03'],['pick up'],pick up red small cylinder,"['red', 'small', 'cylinder']","[0.09693651227329068, 1.0, 0.0915397520735573, 0.2162070596134519, 0.10475988236107775, 0.10222077339538246, 0.38833602028324, 1.0]"
00-00-07-02,2,00-00,['00-00-01-cyl-r-03'],['pick up'],pick up cylinder,['cylinder'],"[0.0933726826325392, 1.0, 0.08846776525736057, 0.2201367362644217, 0.10021698326628822, 0.0982652623204307, 0.3995405702589596, 1.0]"
00-00-08-03,3,00-00,['00-00-01-cyl-r-03'],['pick up'],pick up red solid,"['red', 'solid']","[0.09450057573104237, 1.0, 0.08921377803766317, 0.21751158447032745, 0.1018023492272236, 0.09940731992360903, 0.3975643926101344, 1.0]"
00-00-09-04,4,00-00,['00-00-01-cyl-r-03'],['pick up'],pick up red small solid,"['red', 'small', 'solid']","[0.09366853867900989, 1.0, 0.08860725491470052, 0.2190938228535377, 0.10067114746754506, 0.09853920387290242, 0.3994200322123045, 1.0]"
00-00-10-00,0,00-00,['00-00-02-cyl-r-10'],['pick up'],pick up red cylinder,"['red', 'cylinder']","[0.7490022211018784, 0.019774607392574046, 1.0, 0.02498702316029125, 0.13131826807060146, 1.0, 0.049365867987618835, 0.025552012287035953]"
